338316	Bütün insanlar hür, haysiyet ve haklar bakımından eşit doğarlar. Akıl ve vicdana sahiptirler ve birbirlerine karşı kardeşlik zihniyeti ile hareket etmelidirler.	348677	Wszystkie istoty ludzkie rodzą się wolne i równe w godności i prawach. Są one obdarzone rozumem i sumieniem oraz powinny postępować w stosunku do siebie wzajemnie w duchu braterstwa.
349063	Bilmiyorum.	348673	Nie wiem.
349066	Mum kendiliğinden söndü.	349072	Świeczka sama zgasła.
349067	Mum kendi kendine söndü.	349310	Świeca sama zgasła.
349068	Babam bana yatakta kitap okumamamı söyledi.	349075	Ojciec zabronił mi czytać książki w łóżku.
351764	On, on bir, on iki, on üç, on dört, on beş, on altı, on yedi, on sekiz, on dokuz, yirmi.	351899	Dziesięć, jedenaście, dwanaście, trzynaście, czternaście, piętnaście, szesnaście, siedemnaście, osiemnaście, dziewiętnaście, dwadzieścia.
355656	Ek olarak yaşlılar birbirleriyle sosyalleşebilsin ve Amerikan hayatının aktif üyeleri olarak kalabilsinler diye birçok topluluk kurulmuştur.	355845	Ponadto stworzono wiele grup, po to, by osoby starsze mogły spotykać się ze sobą i pozostać czynnymi uczestnikami życia Ameryki.
355657	Bazıları yalnızca zaman geçsin diye kitap okurlar.	355846	Są tacy, co czytają książki tylko dla zabicia czasu.
355658	Koyu kahverengi saçları vardı.	355847	Miał brązowe włosy.
355659	Bu gemi okyanus yolculuğu için uygun değil.	355848	Ten statek nie nadaje się do podróży oceanicznych.
355660	Bu kitap.	355849	To ta książka.
355661	Hemen yolculuğa hazırlan.	355850	Szykuj się natychmiast do podróży.
355662	Masanın üstündeki hesap makinesi benim.	355851	Kalkulator na stole jest mój.
355663	Şimşek çaktı.	355852	Błysnęła błyskawica.
355664	Aşk onu rüyalarında görmektir.	355853	Miłość to widzieć ją nawet we śnie.
355666	Kimse benim fikirlerimi dinlemek istemiyor.	355855	Nikt nie chce słuchać moich poglądów.
355672	Sana satranç oynamayı öğreteceğim.	355898	Nauczę cię grać w szachy.
355676	Satranç oynamayı biliyor musun?	355897	Umiesz grać w szachy?
355682	Bunlar çok eski kitaplar.	355896	To są moje bardzo stare książki.
355683	Bunlar benim kitaplarım.	353163	To są moje książki.
355684	Bunlar bizim kitaplarımız.	355894	To są nasze książki.
355685	Bunlar benim kalemlerim.	355893	To są moje ołówki.
355686	Bunlar her yerde satılıyor.	355892	Wszędzie się je sprzedaje.
355690	Bu kitap okul kütüphanesinin.	355891	Ta książka należy do szkolnej biblioteki.
355692	Köpekleri severim.	709335	Uwielbiam psy.
355694	Bulaşık makinesinin nasıl çalıştığını anlatabilir misin?	355889	Czy możesz mi wyjaśnić, jak działa zmywarka?
355698	Zor durumlarla başa çıkamıyor.	355888	On nie umie sobie radzić z trudnymi sytuacjami.
355700	Günde en az yedi saat uyumak zorundayız.	355887	Musimy spać co najmniej siedem godzin dziennie.
355707	Sporu rekabet için değil zevk için yapıyorum.	355886	Lubię uprawiać sport dla zabawy, nie dla współzawodnictwa.
355711	Japonca konuşamıyorum.	348763	Nie mówię po japońsku.
355786	Yalnızca birkaç kişi vaktinde geldi.	355873	Tylko kilka osób przyszło na czas.
355883	Sadece birkaç kişi beni anladı.	355900	Rozumie mnie tylko kilka osób.
355890	Koşucuyum.	355899	Jestem gońcem.
355934	Matsuyama'da doğup büyüdüm.	3634073	Urodziłem się i wychowałem w Matsuyama.
355934	Matsuyama'da doğup büyüdüm.	3634074	Urodziłam się i wychowałam w Matsuyama.
355964	Sam Tom'dan iki yaş küçük.	355972	Sam jest dwa lata młodszy od Toma.
355965	Lütfen burayı imzalayın.	355971	Proszę tutaj podpisać.
356372	Pardon ama radyoyu kısabilir misin acaba?	859659	Przepraszam, czy można prosić o ściszenie radia?
356387	Yakınlardaki küçük bir kasabada yaşıyordu.	356426	Mieszkał w pobliskim miasteczku.
356388	Kulübe katılmaz mısın?	356425	Wstąpisz do naszego klubu?
356389	Kulübe katılmak isteyenler lütfen buraya isimlerini yazsın.	356424	Chętni do wstąpienia do klubu proszeni są o wpisanie się tutaj.
356666	Merhaba, nasılsın?	349418	Cześć, jak się masz?
356668	İyi akşamlar Şikago.	356866	Witaj, Chicago!
357833	Bu köprü on tondan fazlasını taşıyamaz.	358008	Ten most ma nośność tylko dziesięć ton.
357907	Dün on yedinci doğum günümdü.	357887	Wczoraj były moje siedemaste urodziny.
359088	Kameram Nikon'dur.	359299	Mój aparat to Nikon.
475591	Ben yorgunum.	362057	Jestem zmęczony.
475591	Ben yorgunum.	2423215	Jestem zmęczona.
476239	O merdivenlerden aşağı yuvarlandı.	442979	Spadł ze schodów.
476240	Ben ondan daha uzunum.	364106	Jestem wyższy od niego.
476242	Bu tükenmez kalemi iki dolara satın aldım.	361859	Kupiłem ten długopis za dwa dolary.
476748	Fiyatları aniden düştü.	1625662	Ceny nagle spadły.
477085	Evet.	356399	To prawda.
477085	Evet.	531792	Tak.
479148	Ne yapıyorsun?	349021	Co robisz?
479264	Kişisel özgürlük demokrasinin ruhudur.	357274	Wolność osobista to istota demokracji.
479515	Kazan'da bir metro var.	404517	W Kazaniu jest metro.
479574	Odaya parfüm kokusu yayıldı.	358922	Pokój był przesycony zapachem perfum.
480660	Hava nasıl?	348794	Jaka pogoda?
482009	Tanrı sizi korusun.	361315	Niech cię Bóg błogosławi.
482010	Allah korusun.	361315	Niech cię Bóg błogosławi.
487283	Anime yönetmeni Satoshi Kon, kırk yedinci doğum gününden kısa süre önce 24 Ağustos 2010 tarihinde pankreas kanserinden öldü.	529065	Reżyser anime Satoshi Kon zmarł na raka trzustki 24 sierpnia 2010 roku, na krótko przed jego 47 urodzinami.
492709	İstasyona yedide ulaştı.	459206	Dotarł na dworzec o siódmej.
492712	İstasyona saat yedide ulaştı.	459206	Dotarł na dworzec o siódmej.
496115	Bu bisiklet benim.	564063	To mój rower.
497748	Bill, Japonya'daydı.	364818	Bill był w Japonii.
511165	Onun erkek kardeşi Kensaku şu an Brezilya'da.	365478	Jej brat Kensaku jest teraz w Brazylii.
585544	Neredeyiz?	629754	Gdzie jesteśmy?
585590	Kar yağıyor.	552195	Pada śnieg.
631335	Aptal olma.	367300	Nie bądź głupi.
671230	O "Ben Kanada'dan geldim" dedi.	668994	Powiedział: "Jestem z Kanady."
699698	Annen evde mi?	826739	Czy Twoja mama jest w domu?
703477	Gök bugün mavi, bulutsuz.	838719	Niebo dzisiaj jest niebieskie, bezchmurne.
747615	Hazır mısın?	922482	Jesteś gotów?
764694	Korkma.	450221	Nie bój się.
764718	İstasyondan otele bir taksi tuttum	733094	Z dworca do hotelu pojechałem taksówką.
